
NOTICE: Existing SQLite export found: results/nsys_formal/20260902_215854/large_256_forward.sqlite
        It is assumed file was previously exported from: results/nsys_formal/20260902_215854/large_256_forward.nsys-rep
        Consider using --force-export=true if needed.

Processing [results/nsys_formal/20260902_215854/large_256_forward.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
attention_softmax,PushPop,695905,695905,36,36,565757,15715.5,15664.0,15360,16576,228.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
attention_softmax,PushPop,695905,695905,36,36,563161,15643.4,15616.0,15520,15969,103.5,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4, (int)4>>(T3)"
attention_softmax,PushPop,695905,695905,36,36,412284,11452.3,11455.5,11135,12096,250.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
attention_softmax,PushPop,695905,695905,36,36,325881,9052.3,9056.0,8672,9504,167.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
forward,PushPop,695905,695905,1,72,25175024,349653.1,349596.5,348861,352285,496.3,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
forward,PushPop,695905,695905,1,180,21159608,117553.4,76703.5,76191,281853,82059.4,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
forward,PushPop,695905,695905,1,434,2119039,4882.6,5295.5,3936,6464,802.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
forward,PushPop,695905,695905,1,72,1345008,18680.7,18624.0,17920,19807,370.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
forward,PushPop,695905,695905,1,180,1337942,7433.0,7392.0,6848,7968,180.2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_split_k_kernel__5x_cublas
forward,PushPop,695905,695905,1,36,1157781,32160.6,32111.5,31680,32832,255.0,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas
